Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Tanzania, United Republic of,Tanzania,1964,Earths,0.00731301763798556,0.010983982491598,0.0929740564503802,0.00666910689131583,0.170612266790687,0.233173399166512,0.521725829428478,3A,TZ
Tanzania, United Republic of,Tanzania,1965,Earths,0.0076465022987498,0.0132646174210083,0.0972363987939172,0.00674120492499309,0.174050601197803,0.261152574412822,0.560091899049294,3A,TZ
Tanzania, United Republic of,Tanzania,1966,Earths,0.00923817261470055,0.0150425237304289,0.108413834674787,0.00665606966841907,0.181326071730056,0.229098019081398,0.549774691499792,3A,TZ
Tanzania, United Republic of,Tanzania,1967,Earths,0.00904856250822396,0.0167381457725164,0.105430197123066,0.00816193253713197,0.181091320799806,0.235158264913465,0.55562842365421,3A,TZ
Tanzania, United Republic of,Tanzania,1968,Earths,0.00896892613070643,0.0163437989609111,0.097544764468819,0.00938669635494043,0.181578583416479,0.24313979890398,0.556962568235837,3A,TZ
Tanzania, United Republic of,Tanzania,1969,Earths,0.00950804350801826,0.0169739986695453,0.100324437305942,0.00922213895878211,0.181006795631309,0.240982182155989,0.558017596229583,3A,TZ
Tanzania, United Republic of,Tanzania,1970,Earths,0.00871249998478362,0.0187314592296877,0.103739108208706,0.014819061157795,0.181150019991237,0.246354253201322,0.573506401773532,3A,TZ
Tanzania, United Republic of,Tanzania,1971,Earths,0.00887730684572443,0.0229418942568701,0.09944715274255,0.0141828783697768,0.180893387694726,0.245705376723029,0.572047996632676,3A,TZ
Tanzania, United Republic of,Tanzania,1972,Earths,0.00938516390601333,0.0258584266151049,0.103425130813378,0.0101560759986716,0.179886163489579,0.250727174429892,0.579438135252638,3A,TZ
Tanzania, United Republic of,Tanzania,1973,Earths,0.0103064537050483,0.028216372218402,0.110114503766502,0.0210827287778231,0.172450746903231,0.248222426819525,0.590393232190532,3A,TZ
Tanzania, United Republic of,Tanzania,1974,Earths,0.00986442653039859,0.0282314065374621,0.113264505798631,0.0213471151179121,0.172130866376751,0.250502939554106,0.595341259915263,3A,TZ
Tanzania, United Republic of,Tanzania,1975,Earths,0.0115617205052912,0.0277308938937612,0.130705684890662,0.02464779628274,0.170834721134667,0.245309128454144,0.610789945161266,3A,TZ
Tanzania, United Republic of,Tanzania,1976,Earths,0.0124730662767733,0.0282801846707489,0.130863767836417,0.0201614267441484,0.168502583812743,0.248100848346492,0.608381877687323,3A,TZ
Tanzania, United Republic of,Tanzania,1977,Earths,0.0134941354734751,0.0278685836286569,0.144058435752646,0.0222144268313297,0.169857993491987,0.248021424436723,0.625514999614817,3A,TZ
Tanzania, United Republic of,Tanzania,1978,Earths,0.0129264899457995,0.0339876257369104,0.149445755178841,0.0172014125542008,0.167035175507682,0.24969498554484,0.630291444468273,3A,TZ
Tanzania, United Republic of,Tanzania,1979,Earths,0.0141070599641583,0.0287723691575658,0.156481132022319,0.0199990700387139,0.167160901429067,0.24729151807585,0.633812050687673,3A,TZ
Tanzania, United Republic of,Tanzania,1980,Earths,0.0131915918125442,0.02872665524494,0.149560887749447,0.013318587518663,0.168056213577642,0.252162987773777,0.625016923677017,3A,TZ
Tanzania, United Republic of,Tanzania,1981,Earths,0.0133670623670555,0.0244924865022413,0.140134999344051,0.0171942708824648,0.166961792320362,0.252966555449478,0.615117166865654,3A,TZ
Tanzania, United Republic of,Tanzania,1982,Earths,0.0146293800293839,0.0219316560457382,0.153371615456438,0.0177571075652998,0.166634589905446,0.249543341843177,0.623867690845482,3A,TZ
Tanzania, United Republic of,Tanzania,1983,Earths,0.0157032321030528,0.0228939289247425,0.165147504329096,0.0315421967152107,0.169153971182548,0.251570382346754,0.656011215601404,3A,TZ
Tanzania, United Republic of,Tanzania,1984,Earths,0.0164898346005502,0.0229413828737872,0.167135699855104,0.0495129399739854,0.166434473513926,0.220428821823447,0.642943152640801,3A,TZ
Tanzania, United Republic of,Tanzania,1985,Earths,0.0155931687019308,0.0236618316124077,0.17192805899133,0.0471994313781127,0.165493144048139,0.216348037103972,0.640223671835891,3A,TZ
Tanzania, United Republic of,Tanzania,1986,Earths,0.0163365986841973,0.0237501171709744,0.169538666987355,0.0474970283575891,0.166669599621316,0.212850199170908,0.636642209992342,3A,TZ
Tanzania, United Republic of,Tanzania,1987,Earths,0.0171980044535202,0.0239187771126615,0.174520922053066,0.0851941664405392,0.169763647826638,0.212397626162967,0.682993144049394,3A,TZ
Tanzania, United Republic of,Tanzania,1988,Earths,0.0161345107311451,0.0250259420548664,0.157321679239315,0.123817626799227,0.17000119895196,0.216452395067281,0.708753352843792,3A,TZ
Tanzania, United Republic of,Tanzania,1989,Earths,0.0181349430521095,0.0250463085164406,0.169213901053689,0.127296324750579,0.166202263584327,0.204433310659144,0.710327051616288,3A,TZ
Tanzania, United Republic of,Tanzania,1990,Earths,0.0182792941556189,0.0256112770614177,0.164076944978737,0.132961348960834,0.161931658895287,0.203085681164552,0.705946205216444,3A,TZ
Tanzania, United Republic of,Tanzania,1991,Earths,0.018972776711837,0.0257909002468462,0.171428867740421,0.0764660351687722,0.163921994050691,0.206908651053774,0.663489224972341,3A,TZ
Tanzania, United Republic of,Tanzania,1992,Earths,0.0191237170289819,0.0253108201361062,0.162166624956843,0.0759028091053408,0.167073382072983,0.205694977621471,0.655272330921726,3A,TZ
Tanzania, United Republic of,Tanzania,1993,Earths,0.019725601385809,0.0257102584032942,0.162535869163239,0.106173958300736,0.166603956080149,0.203980777057462,0.684730420390688,3A,TZ
Tanzania, United Republic of,Tanzania,1994,Earths,0.0184099812565518,0.0265850871953007,0.148733740270371,0.0798846370478311,0.164106225579763,0.205689910202326,0.643409581552147,3A,TZ
Tanzania, United Republic of,Tanzania,1995,Earths,0.0213536012053403,0.0317299330662564,0.163948716983869,0.097814269162182,0.164819112154431,0.22891882786676,0.708584460438837,3A,TZ
Tanzania, United Republic of,Tanzania,1996,Earths,0.0226999917081379,0.0337403239861492,0.167789644402889,0.0722701683603657,0.161968415388344,0.191173329504215,0.6496418733501,3A,TZ
Tanzania, United Republic of,Tanzania,1997,Earths,0.0207301411192082,0.0324796600810998,0.155169581214357,0.0874535972868869,0.160241560036349,0.200003353893691,0.656077893631593,3A,TZ
Tanzania, United Republic of,Tanzania,1998,Earths,0.0231823711720884,0.0311903129935983,0.173457119194953,0.0765765229660175,0.158313976888111,0.192643579155167,0.655363882369935,3A,TZ
Tanzania, United Republic of,Tanzania,1999,Earths,0.0228709145767047,0.0301504918441002,0.157648798135728,0.054610913160992,0.158772259300022,0.240710182845675,0.664763559863223,3A,TZ
Tanzania, United Republic of,Tanzania,2000,Earths,0.0230057246082955,0.0362261641232537,0.163521584330086,0.0509812953198971,0.154863917455303,0.233794899135606,0.662393584972442,3A,TZ
Tanzania, United Republic of,Tanzania,2001,Earths,0.0257751577925197,0.037239906576932,0.181729820279058,0.0543522545185185,0.152743270223951,0.229448305327394,0.681288714718374,3A,TZ
