Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Korea, Republic of,South Korea,1987,Earths,0.0321136631255904,0.728741951493607,0.246900397357243,0.159824835541008,0.0997356618826084,0.0354304530729478,1.302746962473,3A,KR
Korea, Republic of,South Korea,1988,Earths,0.0336726622991748,0.757785646846654,0.265326224579409,0.164661548928234,0.119955288616435,0.0371744940210436,1.37857586529095,3A,KR
Korea, Republic of,South Korea,1989,Earths,0.0342548564058123,0.90535462896317,0.271652573605535,0.177677839017055,0.127193372009976,0.0441374531843543,1.5602707231859,3A,KR
Korea, Republic of,South Korea,1990,Earths,0.0329580824586978,1.1077385897929,0.265796892528885,0.193336508486787,0.150922842695633,0.0496216488099671,1.80037456477288,3A,KR
Korea, Republic of,South Korea,1991,Earths,0.0306868456444387,1.23308652439349,0.289226867316327,0.211764804972882,0.161262713643006,0.0653923044223181,1.99142006039247,3A,KR
Korea, Republic of,South Korea,1992,Earths,0.031279954218276,1.28566830521972,0.285854101134111,0.213122060708535,0.160231479477522,0.0648904105135658,2.04104631127172,3A,KR
Korea, Republic of,South Korea,1993,Earths,0.0294641918637219,1.4339907945615,0.289240431949195,0.214660221317935,0.162619337201917,0.0539490446248208,2.18392402151909,3A,KR
Korea, Republic of,South Korea,1994,Earths,0.0307428253777378,1.54883256524927,0.305500561167739,0.245107981872222,0.164619250240996,0.0630631990894093,2.35786638299738,3A,KR
Korea, Republic of,South Korea,1995,Earths,0.0320025225475481,1.7031717755541,0.308417276621227,0.237766765435315,0.180036902747412,0.0670597609377459,2.52845500384335,3A,KR
Korea, Republic of,South Korea,1996,Earths,0.0344268582679801,1.80366921910746,0.308660268237632,0.236980517928186,0.174803642645921,0.0582327771338096,2.61677328332099,3A,KR
Korea, Republic of,South Korea,1997,Earths,0.0352417499285333,1.96307250282583,0.305648812151442,0.229185710793672,0.140418741073855,0.0544470446385155,2.72801456141185,3A,KR
Korea, Republic of,South Korea,1998,Earths,0.0347735106015439,1.46823503192061,0.292561040642018,0.195594239002408,0.0600813944958104,0.032622941728952,2.08386815839134,3A,KR
Korea, Republic of,South Korea,1999,Earths,0.0364636563157476,1.75667517284762,0.324334540999005,0.247396589490182,0.116172020400357,0.0605656794878014,2.54160765954072,3A,KR
Korea, Republic of,South Korea,2000,Earths,0.0366255117976548,1.96417192765655,0.344227634046348,0.233049353510933,0.127316028845653,0.0743630356164521,2.77975349147358,3A,KR
Korea, Republic of,South Korea,2001,Earths,0.0385839630221333,2.02159696535121,0.336069863643733,0.276200952168242,0.146582537085914,0.0636229371145342,2.88265721838576,3A,KR
Korea, Republic of,South Korea,2002,Earths,0.0365236955238839,2.08268137854761,0.360291047924334,0.277804550958482,0.179548547794255,0.0946369751245388,3.0314861958731,3A,KR
Korea, Republic of,South Korea,2003,Earths,0.0334742327054807,2.11520183503241,0.348491089845228,0.276220326018664,0.171000013775117,0.0871977003979226,3.03158519777482,3A,KR
