"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"","
"Belgium,""BEL"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""108.12"",""105.16"",""107.19"",""103.24"",""103.75"",""98.85"",""97.4"",""98.06"",""93.13"",""95.58"",""100.32"",""104.23"",""102.9"",""105.35"",""80"","""","""","""","
"Benin,""BEN"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""28.7"",""30.12"",""33.46"",""35.69"",""36.76"",""38.71"",""40.8"",""41.65"",""43.83"",""44.54"",""44.85"",""46.96"",""47.67"",""51.1"",""54.98"",""56.91"",""56.87"",""59.58"",""61.53"",""65.67"",""67.25"",""71.5"",""79.18"",""84.22"",""89.99"",""78.76"",""76.75"",""72.45"",""68.93"",""70.47"",""68.99"",""70.95"",""72.94"",""78.25"",""76.57"",""79.18"",""80.2"",""84.45"",""82.63"",""82.67"",""85.4"",""88.88"",""86.84"",""95.93"",""99.01"",""105.06"",""100.56"",""100.78"",""110.71"",""116.07"",""123.74"",""126.4"",""129.02"",""115.81"","""","""","""","
"Bermuda,""BMU"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""171.57"",""182.17"",""195.58"",""208.92"",""193.66"",""215.43"",""221.86"",""201.72"",""175.61"",""169.27"",""170.9"",""136.2"",""109.29"",""91.68"",""95.06"",""93.16"",""88.74"",""89.57"",""95.79"",""107.63"",""108.99"",""110.8"",""114.07"",""109.22"",""107.85"",""102.49"",""111.1"",""111.79"",""116.01"",""130.19"",""122.5"",""116.9"",""111.09"",""103.14"",""95.08"",""92.35"",""91.61"",""96.86"",""97.62"",""99.78"",""102.05"",""105.83"",""104.29"",""98.67"",""100.45"",""100.89"",""103.34"",""110.99"",""108.77"",""110.32"",""112.2"",""114.81"",""114.26"",""114.31"","""","""","""","
"Bolivia,""BOL"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""20.01"",""20.58"",""20.92"",""20.87"",""21.54"",""22.68"",""23.12"",""23.4"",""24.34"",""28.1"",""28.82"",""32.09"",""33.04"",""33.85"",""36.15"",""37.65"",""39.37"",""40.06"",""42.36"",""49.14"",""47.71"",""47.99"",""49.47"",""47.07"",""49.92"",""48.13"",""50.34"",""54.4"",""56.92"",""64.97"",""61.57"",""58.82"",""60.57"",""65.52"",""69.2"",""71.31"",""73.56"",""77.29"",""79.16"",""80.09"",""80.82"",""86.51"",""88.6"",""91.95"",""97.61"",""110.44"",""125.59"",""129.46"",""117.47"",""126.98"",""128.05"",""132.17"",""134.25"",""133.98"","""","""","""","
"Brazil,""BRA"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""13.68"",""13.98"",""14.13"",""15.17"",""16.03"",""16.12"",""16.49"",""18.01"",""18.89"",""19.34"",""19.23"",""20.95"",""21.93"",""21.89"",""23.48"",""25.43"",""25.68"",""27.03"",""28.7"",""31.93"",""32.94"",""33.33"",""34.38"",""35.03"",""36.11"",""37.74"",""40.44"",""42.85"",""44.22"",""44.92"",""48.99"",""51.59"",""53.44"",""56.49"",""62.17"",""66.48"",""67.02"",""68.42"",""74.16"",""77.6"",""80.39"",""85.71"",""89.6"",""96.31"",""100.88"",""102.81"",""107.66"",""111.45"",""111.33"",""116.58"",""118.81"",""121.39"",""127.46"",""124.47"","""","""","""","
"Burkina Faso,""BFA"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""20.67"",""21.5"",""22"",""23.33"",""26.78"",""25.02"",""25.52"",""25.9"",""26.84"",""27.51"",""29.12"",""26.03"",""20.9"",""19.79"",""22.41"",""21.33"",""21.69"",""23.95"",""26.06"",""25.5"",""25.63"",""26.89"",""29.71"",""30.36"",""33.79"",""35.1"",""36.34"",""37.07"",""39.47"",""54.76"",""57.1"",""57.85"",""60.07"",""64.88"",""65.32"",""67.15"",""68.88"",""70.29"",""71.92"",""75.72"",""81.12"",""81.21"",""94.18"",""97.64"",""100.91"",""101.45"",""101.89"",""102.89"",""104.8"",""106.36"",""109"",""109.37"",""84.41"",""99.27"","""","""","""","
"Burundi,""BDI"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""60.19"",""61.65"",""62.11"",""64.6"",""69.8"",""72.4"",""77.13"",""80.48"",""90.55"",""91.41"",""94.12"",""101.27"",""105.43"",""107.31"",""115.06"",""130.49"",""120.27"",""120.99"",""119.7"",""115.15"",""100.12"",""102.38"",""106.88"",""108.96"",""103.8"",""119.45"",""120.77"",""129.71"",""129.55"",""111.01"",""116.48"",""112.23"",""111.9"",""104.96"",""87.65"",""82.6"",""76.9"",""81.84"",""99.07"",""89.91"",""86.98"",""85.2"",""85.37"",""79.83"",""101.59"",""118.58"",""113.2"",""109.72"",""115.93"",""117.39"",""128.96"",""140.87"",""125.75"",""142.33"","""","""","""","
"Cabo Verde,""CPV"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""10.11"",""10.14"",""11.23"",""12.01"",""12.95"",""13.88"",""14.08"",""14.97"",""15.37"",""15.85"",""16.15"",""15.94"",""16.19"",""14.11"",""14.31"",""14.26"",""15.82"",""17.16"",""17.68"",""19.02"",""22"",""30.06"",""23.05"",""22.61"",""30.56"",""34.82"",""39.65"",""48.27"",""48.24"",""50.7"",""53.82"",""81.46"",""83.28"",""66.62"",""91.69"",""63.32"",""75.68"",""87.99"",""89.71"",""83.64"",""87.87"",""88.67"",""88.99"",""93.76"",""99.87"",""106.37"",""114.33"",""121.49"",""127.43"",""121.57"",""73.12"",""74.6"",""76.7"",""74.9"","""","""","""","
"Cambodia,""KHM"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""18.7"",""20.77"",""21.19"",""20.26"",""22.2"",""23.92"",""28.94"",""32.21"",""37.01"",""37.03"",""36.79"",""36.49"",""36.15"",""32.9"",""26.57"",""22.12"",""19.17"",""17.19"",""14.82"",""15.11"",""18.21"",""27.97"",""30.91"",""35.69"",""40.6"",""42.12"",""45.02"",""50.28"",""55.52"",""53.61"",""56.02"",""65.71"",""68.65"",""67.62"",""69.72"",""72.71"",""77.66"",""79.09"",""82.71"",""91.12"",""91.81"",""89.38"",""92.89"",""95.37"",""100.66"",""103.97"",""99.11"",""92.9"",""90.87"",""95.37"",""95.86"",""89.94"",""89.55"",""92.26"","""","""","""","
"Cameroon,""CMR"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""25.29"",""25.28"",""26.01"",""25.05"",""26.29"",""28.06"",""29.43"",""30.86"",""31.13"",""34.42"",""36.43"",""37.56"",""37.2"",""37.49"",""38.23"",""40.84"",""42.59"",""44.17"",""45.61"",""46.36"",""45.27"",""47.01"",""47.98"",""54.39"",""56.17"",""59.13"",""63.21"",""68.38"",""70.76"",""74.06"",""74.22"",""74.83"",""77.63"",""74.8"",""77.64"",""80.39"",""78.42"",""81.27"",""88.93"",""86.68"",""89.69"",""89.28"",""88.34"",""96.79"",""99.22"",""103.99"",""104.57"",""111.31"",""111.15"",""114.79"",""120.38"",""121.02"",""123.56"",""98.68"","""","""","""","
